// PatSize	  TextSize	  Naive-RT	    KMP-RT
     10000	    410000	      3796	      2664
    100000	    410000	      3922	      2189
        10	    420000	      4038	      3121
       100	    420000	      3861	      3240
      1000	    420000	      3978	      2940
     10000	    420000	      3481	      2811
    100000	    420000	      3978	      2156
        10	    430000	      3955	      3320
       100	    430000	      3987	      3409
      1000	    430000	      3765	      3094
     10000	    430000	      3562	      2798
    100000	    430000	      4466	      2185
        10	    440000	      3819	      3135
       100	    440000	      4029	      3337
      1000	    440000	      3716	      3615
     10000	    440000	      3647	      3084
    100000	    440000	      4304	      3858
        10	    450000	      4190	      3323
       100	    450000	      4114	      3423
      1000	    450000	      3573	      3168
     10000	    450000	      3810	      2893
    100000	    450000	      4293	      2288
        10	    460000	      4465	      3311
       100	    460000	      4312	      3227
      1000	    460000	      3659	      3228
     10000	    460000	      3944	      2962
    100000	    460000	      4613	      2539
        10	    470000	      4409	      3545
       100	    470000	      4384	      3407
      1000	    470000	      3791	      3387
     10000	    470000	      3795	      3225
    100000	    470000	      4743	      2637
        10	    480000	      4308	      3458
       100	    480000	      4553	      3559
      1000	    480000	      3937	      3527
     10000	    480000	      3928	      3175
    100000	    480000	      4553	      2371
        10	    490000	      4491	      3742
       100	    490000	      4583	      3607
      1000	    490000	      3933	      3454
     10000	    490000	      4013	      3424
    100000	    490000	      5125	      2571
        10	    500000	      4678	      3713
       100	    500000	      4266	      3613
      1000	    500000	      4179	      3707
     10000	    500000	      3964	      3417
    100000	    500000	      4926	      2702
        10	    510000	      4355	      3714
       100	    510000	      4638	      3690
      1000	    510000	      4305	      3700
     10000	    510000	      4207	      4503
    100000	    510000	      5076	      2522
        10	    520000	      4740	      3780
       100	    520000	      4632	      3740
      1000	    520000	      4181	      3783
     10000	    520000	      4448	      3740
    100000	    520000	      4895	      2527
        10	    530000	      4768	      3826
       100	    530000	      4372	      3815
      1000	    530000	      4286	      3966
     10000	    530000	      4364	      3676
    100000	    530000	      4963	      2541
        10	    540000	      4902	      4035
       100	    540000	      5085	      3965
      1000	    540000	      4396	      3877
     10000	    540000	      4375	      3654
    100000	    540000	      5033	      4513
        10	    550000	      5163	      4053
       100	    550000	      4777	      3989
      1000	    550000	      4630	      3921
